epoch,cos_dist,top1_acc,top5_acc
0,0.5588158666466673,0.13333333333333333,0.35
1,0.23336381589372954,0.16666666666666666,0.4916666666666666
2,0.12968772302071255,0.225,0.65
3,0.10990700125694276,0.3,0.6833333333333333
4,0.1065277338027954,0.2833333333333333,0.6666666666666666
5,0.1060174822807312,0.2916666666666667,0.675
6,0.10597667545080183,0.3,0.6583333333333333
7,0.1059942051768303,0.3,0.6583333333333333
8,0.10600891858339308,0.3,0.6583333333333333
9,0.10601681172847748,0.3,0.6583333333333333
10,0.10602058966954547,0.3,0.6583333333333333
